Counter,Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# Peptides A2,# Peptides B2,# Peptides C2,# PSM A2,# PSM B2,# PSM C2,Coverage A2,Coverage B2,Coverage C2,Score A2,Score B2,Score C2,# AAs,MW [kDa],calc. pI
1,Q9C0C9,(E3-independent) E2 ubiquitin-conjugating enzyme OS=Homo sapiens GN=UBE2O PE=1 SV=3 - [UBE2O_HUMAN],3.33%,1,2,2,2,,,2,,,2,,,3.33%,,,0,1292,141.2,5.12
1,Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Homo sapiens GN=AGPAT5 PE=1 SV=3 - [PLCE_HUMAN],3.30%,1,1,1,1,,,1,,,1,,,3.30%,,,0,364,42,9.1
1,P61604,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2 - [CH10_HUMAN]",11.76%,1,1,1,1,,,1,,,1,,,11.76%,,,0,102,10.9,8.92
1,P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1 - [1433E_HUMAN],23.14%,1,5,7,19,4,5,4,7,6,6,18.82%,18.82%,19.22%,0,0,0,255,29.2,4.74
1,P27348,14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1 - [1433T_HUMAN],14.69%,1,2,4,5,1,2,2,1,2,2,4.08%,7.35%,10.61%,0,0,0,245,27.7,4.78
1,P63104,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1 - [1433Z_HUMAN],26.53%,4,4,6,12,3,4,3,4,5,3,17.55%,17.55%,16.73%,0,0,0,245,27.7,4.79
1,Q9UJ83,2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens GN=HACL1 PE=1 SV=2 - [HACL1_HUMAN],2.08%,1,1,1,1,,,1,,,1,,,2.08%,,,0,578,63.7,7.36
1,P62333,26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1 - [PRS10_HUMAN],9.77%,1,2,2,4,1,2,1,1,2,1,5.40%,9.77%,5.40%,0,0,0,389,44.1,7.49
1,P62191,26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1 - [PRS4_HUMAN],1.59%,1,1,1,1,1,,,1,,,1.59%,,,0,,,440,49.2,6.21
1,P17980,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3 - [PRS6A_HUMAN],5.01%,1,1,1,2,1,1,,1,1,,5.01%,5.01%,,0,0,,439,49.2,5.24
1,P35998,26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3 - [PRS7_HUMAN],6.47%,1,3,3,3,,,3,,,3,,,6.47%,,,0,433,48.6,5.95
1,Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2 - [PSMD1_HUMAN],5.14%,1,3,3,4,1,,3,1,,3,1.78%,,5.14%,0,,0,953,105.8,5.39
