Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
Q9C0C9	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleus [GO:0005634]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; positive regulation of BMP signaling pathway [GO:0030513]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; retrograde transport, endosome to Golgi [GO:0042147]	Q9C0C9
Q9NUQ2	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; CDP-diacylglycerol biosynthetic process [GO:0016024]; hematopoietic progenitor cell differentiation [GO:0002244]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid biosynthetic process [GO:0008654]; triglyceride biosynthetic process [GO:0019432]	Q9NUQ2
P61604	extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; chaperone mediated protein folding requiring cofactor [GO:0051085]; osteoblast differentiation [GO:0001649]; protein folding [GO:0006457]; response to unfolded protein [GO:0006986]	P61604
P62258	axon [GO:0030424]; central region of growth cone [GO:0090724]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; kinesin complex [GO:0005871]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; cadherin binding [GO:0045296]; calcium channel regulator activity [GO:0005246]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; ion channel binding [GO:0044325]; MHC class II protein complex binding [GO:0023026]; phosphoprotein binding [GO:0051219]; phosphoserine binding [GO:0050815]; potassium channel regulator activity [GO:0015459]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; ciliary basal body docking [GO:0097711]; G2/M transition of mitotic cell cycle [GO:0000086]; hippo signaling [GO:0035329]; hippocampus development [GO:0021766]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; membrane organization [GO:0061024]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; negative regulation of calcium ion export from cell [GO:1905913]; negative regulation of calcium ion transmembrane transporter activity [GO:1901020]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of peptidyl-serine dephosphorylation [GO:1902309]; neuron migration [GO:0001764]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; protein targeting [GO:0006605]; regulation of cellular response to heat [GO:1900034]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of heart rate by hormone [GO:0003064]; regulation of membrane repolarization [GO:0060306]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; substantia nigra development [GO:0021762]; viral process [GO:0016032]	P62258
P27348	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrion [GO:0005739]; protein complex [GO:0043234]; 14-3-3 protein binding [GO:0071889]; ion channel binding [GO:0044325]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; membrane organization [GO:0061024]; negative regulation of ion transmembrane transport [GO:0034766]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; protein targeting [GO:0006605]; small GTPase mediated signal transduction [GO:0007264]; substantia nigra development [GO:0021762]	P27348
P63104	blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; vesicle [GO:0031982]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]; establishment of Golgi localization [GO:0051683]; Golgi reassembly [GO:0090168]; membrane organization [GO:0061024]; negative regulation of apoptotic process [GO:0043066]; platelet activation [GO:0030168]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; protein targeting [GO:0006605]; regulation of mRNA stability [GO:0043488]; signal transduction [GO:0007165]	P63104
Q9UJ83	intracellular membrane-bounded organelle [GO:0043231]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; carbon-carbon lyase activity [GO:0016830]; cofactor binding [GO:0048037]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; receptor binding [GO:0005102]; thiamine pyrophosphate binding [GO:0030976]; fatty acid alpha-oxidation [GO:0001561]; protein oligomerization [GO:0051259]	Q9UJ83
P62333	cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear proteasome complex [GO:0031595]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; identical protein binding [GO:0042802]; proteasome-activating ATPase activity [GO:0036402]; protein binding, bridging [GO:0030674]; TBP-class protein binding [GO:0017025]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P62333
P62191	cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; membrane [GO:0016020]; nuclear proteasome complex [GO:0031595]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; proteasome-activating ATPase activity [GO:0036402]; RNA binding [GO:0003723]; TBP-class protein binding [GO:0017025]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of neuron death [GO:1901215]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein folding [GO:0006457]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent ERAD pathway [GO:0030433]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P62191
P17980	cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nuclear proteasome complex [GO:0031595]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; secretory granule lumen [GO:0034774]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; identical protein binding [GO:0042802]; proteasome-activating ATPase activity [GO:0036402]; TBP-class protein binding [GO:0017025]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; blastocyst development [GO:0001824]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; modulation by host of viral transcription [GO:0043921]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; neutrophil degranulation [GO:0043312]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent ERAD pathway [GO:0030433]; viral process [GO:0016032]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	P17980
